representation,n_train,feature_dim,astar_spearman,astar_r2,speed_r2,direction_cosine,collision_accuracy,collision_auc,action_magnitude_r2,action_decode_r2,action_to_latent_r2,astar_action_subspace_overlap,speed_action_subspace_overlap,direction_action_subspace_overlap,selection_score
dino/6/cls,1227,384,0.9884360171973703,0.9773575667229253,-0.1284614141665672,0.8822305715114978,0.9288025889967637,0.40291415901172,-0.2036899384874653,-0.04687222544043612,-0.0009283166739562088,0.0019148923739976938,0.0015764339439257404,0.012863716482379115,0.3741333177417736
dino/6/individual_patches,48099,384,0.07488102285320658,-112.62404267821519,0.006644100887260085,0.496162815781947,0.9287695660788587,0.4222658354130505,-0.035016428438286784,-0.011192559636352462,-3.3923796958212904e-06,0.00018425172432909523,0.01349211527091964,0.09614710362249876,0.11553758790448274
dino/6/pooled_patches,1227,384,0.9948871893688873,0.991805529935564,-0.2494804088734135,0.9089472298749435,0.9288025889967637,0.39198606271777003,-0.21403399653248822,-0.12302663372112077,0.0017886570963890902,0.004191382437152036,0.0005121039177170987,0.023852404434661748,0.38076688384876617
dino/6/projected_aggregate,1227,128,0.9650055376893768,0.9235988980039577,-0.026946337604325965,0.8097001549170556,0.9288025889967637,0.4969908140639848,-0.056185692438162294,0.026118361851093175,0.012602718390096967,0.011359965160867649,0.00988883466809272,0.0055533732640601925,0.3601648108915051
dino/6/projected_patches,48099,8,0.0019999273965256663,-0.005273507402172806,-0.002282778926594231,0.05244420209960494,0.9288025889967637,0.4810153936229454,-0.008452155012274032,-0.004364505603579927,0.00016360622551392368,0.39158578250321446,0.09915282324908335,0.4093011874229402,0.01088882589922612
dino/7/cls,1227,384,0.9911828566393591,0.9829975568652797,-0.1100952083222475,0.8689987115376543,0.9288025889967637,0.4531200506810263,-0.20069646296551724,-0.03670059981101881,0.0004438393656513995,0.00011492830707184834,0.0008646352226956085,0.005640398024265885,0.3720363136354027
dino/7/individual_patches,48099,384,0.08130951876361953,-87.30508625626368,0.0031761792709753545,0.5254105026025271,0.9287695660788587,0.42699986622615405,-0.04555813297690192,-0.006985985481620327,-0.00010813962288502843,0.0008386193235734456,0.01381719376077241,0.08248128499577087,0.12197924012742441
dino/7/pooled_patches,1227,384,0.9933359936019004,0.9892880903311246,-0.19041177381329843,0.883332546480628,0.9288025889967637,0.3539752929996832,-0.22126190206148366,-0.1307161803261887,-0.0010847884576399291,0.0015441410778846585,0.0009380863855220039,0.019847920893742134,0.3753337080165057
dino/7/projected_aggregate,1227,128,0.9764618157157452,0.9392080347874727,-0.012618824899363723,0.8108083329992738,0.9288025889967637,0.4490022172949002,-0.05554044186970275,0.03031482864252877,0.02389170895126136,0.0013953441097251224,0.008369661945887865,0.009914693351523748,0.3635169954715095
dino/7/projected_patches,48099,8,-0.004773883682115317,-0.0255121436385497,-0.001976027049530593,0.06557149156929945,0.9288025889967637,0.4557739410658926,-0.008274024195241036,-0.00469054364960142,8.66029924756484e-05,0.27260189027554677,0.127968210596833,0.4823081436021775,0.01311429831385989
dino/8/cls,1227,384,0.9864681655272729,0.9725683974878097,-0.06961501151255334,0.8628971822516674,0.9288025889967637,0.38105796642382006,-0.19378825865817562,-0.0433707746739338,0.0012429161723263027,0.0007879534575177864,0.0016181807816214105,0.013902891593265247,0.3698730695557881
dino/8/individual_patches,48099,384,0.09010229112755011,-31.71671021962215,-0.0019031832169886798,0.5170029761137245,0.9288025889967637,0.4238392777162192,-0.030598128511166056,-0.011635017553855098,-9.862569727348003e-05,0.002848315721427333,0.006251175236213095,0.0690495478825219,0.1214210534482549
dino/8/pooled_patches,1227,384,0.9926802432917733,0.9870198672746892,-0.14001520406714518,0.8961061655802082,0.9288025889967637,0.4178017104846373,-0.18984910349837802,-0.06771366562845715,-0.0011886087953183466,0.0037189236373207347,0.0004767193624006067,0.020545301617162913,0.37775728177439627
dino/8/projected_aggregate,1227,128,0.9697463180691345,0.9162895427217085,-0.013124585523999421,0.7990197907688336,0.9288025889967637,0.4433006018371872,-0.029007003402497178,0.01961017229573725,0.021213178938447763,0.0003481925138522585,0.005353599031001386,0.04091068038054953,0.357675256226741
dino/8/projected_patches,48099,8,-0.005028856550564481,-0.027605249186167358,-0.0023389886938078863,0.0834301645701475,0.9288025889967637,0.4669205742196163,-0.00812970175841743,-0.004309962734269979,0.0002696705634339658,0.3495988594561136,0.07312882726548596,0.48689985710412,0.0166860329140295
dino/9/cls,1227,384,0.9870344914396574,0.9747504459009707,-0.08183665971851917,0.8497579996687087,0.9288025889967637,0.4266708900855242,-0.22425122530177566,-0.03751160194202585,0.0006501647070215055,0.0016167935646373465,0.0019469892394899204,0.0142800699851119,0.3673584982216732
