representation,feature_dim,position_xy_r2,position_xy_rmse,goal_delta_xy_r2,goal_delta_xy_rmse,velocity_xy_r2,velocity_xy_rmse,acceleration_xy_r2,acceleration_xy_rmse,goal_range_r2,goal_range_mae,speed_r2,speed_mae,acceleration_magnitude_r2,acceleration_magnitude_mae,goal_bearing_cosine,goal_bearing_angular_mae_deg,heading_cosine,heading_angular_mae_deg,acceleration_direction_cosine,acceleration_direction_angular_mae_deg,heading_harmonic_effective_rank,heading_harmonic_dimensions_90pct,speed_vs_heading_overlap,speed_vs_heading_min_angle_deg,heading_vs_acceleration_xy_overlap,heading_vs_acceleration_xy_min_angle_deg,heading_vs_position_xy_overlap,heading_vs_position_xy_min_angle_deg,heading_vs_goal_delta_xy_overlap,heading_vs_goal_delta_xy_min_angle_deg,velocity_xy_vs_acceleration_xy_overlap,velocity_xy_vs_acceleration_xy_min_angle_deg,position_xy_vs_velocity_xy_overlap,position_xy_vs_velocity_xy_min_angle_deg,goal_delta_xy_vs_action_overlap,goal_delta_xy_vs_action_min_angle_deg,speed_vs_action_overlap,speed_vs_action_min_angle_deg,heading_vs_action_overlap,heading_vs_action_min_angle_deg,condition,selected_layer
dino/9/pooled_patches,384,0.9937930220902953,0.07695185357521975,0.9937930220902953,0.07695185357521997,-0.12485731046271087,1.8609480782662748,0.07408646324990997,0.3680477512263089,0.9925239012641205,0.05501255749269808,-0.034311250565719265,0.998864727714618,-0.017064021229632242,0.21239518031512344,0.99792701270764,2.8845813846568236,-0.013784467706888272,90.98801175486376,0.2857946785715627,68.71811667977431,29.519337466011557,26,0.0036917288449313454,86.51658587497624,0.20734409853689817,59.87893454444787,0.0071513120743031695,83.35453398863801,0.007151312074297734,83.35453398863999,0.20790680382489238,62.06523024938569,0.007352136209667187,83.18185034920042,0.0004616936278533767,88.28473709202862,0.0071441808042899966,85.1513892061414,0.002569510599487454,86.116147452874,r0,False
predictor/0/pooled_visual,8,0.6676730491035245,0.5622354366417185,0.6676730491035232,0.5622354366417196,0.06566191569207658,1.715052677043889,0.10791591459404581,0.3780232934093908,0.5888359475549396,0.4443761967638752,0.10317088427959631,0.973995782344522,0.010260529407009389,0.22087881371153278,0.910252833715279,17.993972060055548,0.24586716810612252,71.74423900599602,0.2670784648334858,71.09216512645418,3.354500256346122,4,0.32110674155836455,55.48216026299493,0.4069455931970689,35.23720932626509,0.26127861448404843,46.596228852568615,0.2612786144840484,46.596228852568615,0.42208482253274465,35.44366828166648,0.3424348182419968,39.24711936177794,0.26100095593724826,49.434735092965454,0.18835661049280103,64.27827588733489,0.5598215960043501,12.362305275546165,r0,False
predictor/1/individual_visual_tokens,8,0.7082661275839321,0.5267794952599737,0.708266127583933,0.5267794952599728,0.107546696302112,1.676170484066455,0.11073365627841025,0.3774258080072488,0.5930460988908215,0.43309383629996206,0.053062585058204825,0.9951957174957331,0.02155053955058528,0.21982178717404252,0.9108494124393581,17.057407753515186,0.27808736704066583,69.64001608142355,0.28245893199650685,69.58513909824207,3.607690603690539,4,0.13561271546342682,68.3918799987371,0.23306176076622656,47.60374921117343,0.17438240199789187,54.60636172058214,0.1743824019978925,54.606361720582065,0.16923413660857237,57.129958202526566,0.1474625195081069,64.25394440674535,0.09600367075986947,68.00584947022448,0.27532718308038917,58.350854122566,0.4374305508669015,27.951867479705676,r0,True
predictor/1/pooled_visual,8,0.7082658891924949,0.5267797104898582,0.7082658891924957,0.5267797104898575,0.10754681860974691,1.6761703692097707,0.11073365790977496,0.37742580766105377,0.5930458515245225,0.433094253926252,0.05306238272641117,0.9951958650629538,0.021550649100586794,0.21982177257535937,0.9108492601593985,17.057436305177976,0.2780875611064842,69.63997544000958,0.2824614793002382,69.58496506333856,3.607694276123513,4,0.1356096086180801,68.39213996080225,0.23305822537055323,47.604088456386314,0.17438118576796488,54.60655392650023,0.17438118576796494,54.606553926500226,0.1692319481153547,57.13027271945651,0.14746068146511837,64.25409459260261,0.0960054101421621,68.00592167911863,0.27534069640170206,58.3499874482932,0.4374285422429432,27.95189780502837,r0,True
predictor/2/pooled_visual,8,0.6248719041919852,0.5973449956937767,0.624871904191985,0.597344995693777,0.11350036727801027,1.6705701536740152,0.09605534065115418,0.3805279725510038,0.473493290652106,0.48833788870588796,0.024725923175525577,1.0056664027584739,0.0091203417657717,0.22281366235364974,0.9038386804199071,18.083064472878096,0.2908156414358189,69.50780733967754,0.3072709204850168,67.77038814257283,3.7931991096271935,4,0.11527646129981332,70.1521314100555,0.4077242201290488,27.875150297029577,0.2829591203844318,41.29453720032141,0.282959120384432,41.29453720032139,0.3344089775067207,35.6260811145289,0.28492257655405984,40.985211868944745,0.4424346385135936,19.914331128661583,0.4656734962228487,46.96831204804331,0.44137931127977414,41.78246763689403,r0,False
predictor/3/pooled_visual,8,0.49139363698251814,0.6955467537774991,0.49139363698251737,0.6955467537774997,0.1920721925166906,1.5948201569536387,0.015434056325037138,0.3971349145991478,0.3385754861467005,0.5623149051500272,0.058710316731963474,0.9746097849719451,0.015240577991604942,0.22159478583377976,0.8754528356880814,22.196609634609473,0.34645137804449616,64.93739766345473,0.13751055553042926,80.29549129770398,3.7300362941982677,4,0.6803585798022804,34.42787711145508,0.4501259600830145,19.483006524437712,0.38511392611852513,37.67115976107245,0.3851139261185246,37.67115976107245,0.3694993560239301,34.14146007362734,0.38954810762926695,38.618947600383166,0.24191912322035758,45.93053308579725,0.02405232707846872,81.07809264684671,0.42175054023178693,26.65421151949145,r0,False
predictor/4/pooled_visual,8,0.4428038925726725,0.7280135629505503,0.4428038925726715,0.7280135629505511,0.2200222222602467,1.5669911827779321,0.04275345267002528,0.39158637272973806,0.29199314559368106,0.5727010660224068,0.03327131160612218,0.9857597877702531,-0.0038726758660108107,0.223288146524875,0.865064036341018,23.78331713103196,0.39112196484018613,61.91301859331827,0.2193020800154241,74.53366979625127,3.3964105890602263,4,0.574518663092811,40.71442883305559,0.6274905059163447,21.941242118824917,0.4160912353687261,45.27451899133401,0.41609123536872794,45.27451899133406,0.4979298539734528,20.812165821784937,0.3337534693104336,49.14045932799129,0.31140700961143225,43.825535850834264,0.4395908342557823,48.469666577225226,0.4560991964497,26.675160493873108,r0,False
predictor/5/pooled_visual,8,0.591669482328157,0.623219958501169,0.5916694823281552,0.6232199585011705,0.13198220775167446,1.6530643183541143,0.05021140978137273,0.3900579551227714,0.5083576366122998,0.46757668716175266,0.037540208942475894,0.9819616799880462,0.002829694452534559,0.22125474917566035,0.8883858537245366,20.53446048879653,0.3302004286392509,66.16912978744365,0.22922105265356896,73.63191383677618,3.595253816990641,4,0.7869663847476139,27.48753619896934,0.7999515591736358,9.552090012595878,0.3450269250669775,41.94583509370264,0.3450269250669756,41.94583509370273,0.7319523878878453,9.313988560591053,0.2924652094182379,43.66032971072521,0.18807838478819788,59.28718149272213,0.6739882680690938,34.81819956533639,0.7091830090370581,28.480628375592325,r0,False
dino/6/cls,384,0.9904782890597513,0.0953095638129679,0.9904782890597513,0.09530956381296758,-0.13407718733308993,1.8685591312869507,0.06359553372075322,0.3701269342744381,0.9870424933482916,0.0736714433872429,0.007655198090386728,0.9632360898072512,-0.09777182189674782,0.21841217762048484,0.9969675506742363,3.492544294033174,0.024495342652498888,87.65343395971956,0.28352941032653484,69.54306464287012,29.277546496148492,26,0.008867739401687082,84.59652608780605,0.19218582007862528,61.4462204295136,0.009465360406911183,82.0916829502166,0.00946536040691304,82.09168295021581,0.20215026769330133,61.80009855521516,0.006536284824533207,83.4368100951636,0.0011268382870444035,87.40540945824829,0.0074662314805420725,85.04304168101645,0.010328630117613995,81.8353535632862,r2,True
dino/6/individual_patches,384,0.9951515649687575,0.06801109633426629,0.9951515649687573,0.06801109633426768,-0.1729745850989184,1.9003335674014332,0.0321144854063341,0.3762971654603985,0.9931109069753329,0.05448789078565972,-0.0414324983193064,0.9890909374436289,-0.13866743861492137,0.22583693749053246,0.998791037158691,2.233726035978944,0.019214801970385626,88.1327406863775,0.27411290587690434,70.14807982958284,29.79406005940728,27,0.014556599564520274,83.07034024881483,0.21274386372019688,59.189062267116725,0.002142757710418433,86.45324457743146,0.002142757710420241,86.45324457742979,0.21906379724690636,58.015298827246674,0.002977614623367251,85.9142518131405,0.0030546997895730733,85.6109161454219,0.002182610397542986,87.32225725396842,0.004283764448368105,84.69255314293797,r2,True
